Numba_LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.392, Time: 3.304862 s
         8275165 function calls (7831564 primitive calls) in 10.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:47(PackageNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
       72    0.003    0.000    0.003    0.000 __init__.py:48(create_string_buffer)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        2    0.000    0.000    0.000    0.000 __init__.py:484(select)
        1    0.000    0.000    0.000    0.000 __init__.py:490(PackagePath)
        1    0.000    0.000    0.000    0.000 __init__.py:495(_get_xdg_config_dir)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:505(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:506(FileHash)
     1341    0.002    0.000    0.002    0.000 __init__.py:509(cast)
       43    0.001    0.000    0.001    0.000 __init__.py:513(string_at)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Distribution)
        2    0.000    0.000    0.000    0.000 __init__.py:514(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:550(discover)
        1    0.000    0.000    0.000    0.000 __init__.py:552(get_configdir)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        8    0.000    0.000    0.000    0.000 __init__.py:56(fget)
        2    0.000    0.000    0.000    0.000 __init__.py:564(<genexpr>)
      142    0.000    0.000    0.000    0.000 __init__.py:565(__init__)
